Room	Zone	Due In	Pending	Priority	VIP	Occ.	Attendant	Cond.	Service	Credits	Arrival	Departure	Status
2014	Zone 2 South		0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2016	Zone 2 South		0	4		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2018	Zone 2 South		0	79		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2020	Zone 2 South		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
2022	Zone 2 South		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
2024	Zone 2 South		0	179		1	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 16:44:16	27/06/2022	Complete
2026	Zone 2 South	X	0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2028	Zone 2 South		0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	28/06/2022	Complete
2030	Zone 2 South		0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	27/06/2022	Complete
2032	Zone 2 South	X	0	79		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2034	Zone 2 South		0	0		2		OR			24/06/2022 21:44:38	26/06/2022	
2210	Zone 2 North		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
2212	Zone 2 North	X	0	54		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2214	Zone 2 North		0	3		2	"Caroline, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
2216	Zone 2 North		0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2218	Zone 2 North	X	0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2220	Zone 2 North		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
2222	Zone 2 North	X	0	54		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2224	Zone 2 North		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
2226	Zone 2 North	X	0	54		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
2228	Zone 2 North		0	3		1	"Caroline, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
2230	Zone 2 North		0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3000	Zone 3 West	X	0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3002	Zone 3 West	X	0	179		2	"Caroline, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3004	Zone 3 West		0	54		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3005	Zone 3 West		0	56		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3006	Zone 3 West	X	0	79		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3007	Zone 3 West		0	0		2		OR			24/06/2022 20:29:28	26/06/2022	
3008	Zone 3 West		0	3		2	"Hannah, AgencyRoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Do Not Disturb
3009	Zone 3 West		0	60		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 15:44:09	26/06/2022	Complete
3011	Zone 3 West		0	60		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3013	Zone 3 West		0	0		2		OR			24/06/2022 00:00:00	26/06/2022	
3014	Zone 3 West		0	54		1	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3015	Zone 3 West		0	9		1	"Rubi, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
3016	Zone 3 West		0	54		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3017	Zone 3 West		0	9		1	"Hannah, AgencyRoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Do Not Disturb
3018	Zone 3 West		0	54		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3019	Zone 3 West		0	60		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3020	Zone 3 West		0	54		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3021	Zone 3 West		0	49		2	"Rubi, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
3022	Zone 3 West		0	3		1	"Rubi, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
3023	Zone 3 West		0	60		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3024	Zone 3 West		0	54		2	"Rubi, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3025	Zone 3 West		0	8		2	"Mariana, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
3027	Zone 3 West		0	59		2	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3034	Zone 3 South	X	0	83		4	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3036	Zone 3 South		0	180		2	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3038	Zone 3 South	X	0	180		2	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 19:29:42	26/06/2022	Complete
3040	Zone 3 South		0	4		1	"Mariana, RoomAttendant"	OR	Stay Over + Linen	1.00	23/06/2022 00:00:00	04/07/2022	Complete
3042	Zone 3 South	X	0	105		2	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
3044	Zone 3 South		0	0		1		OR			24/06/2022 00:00:00	27/06/2022	
3046	Zone 3 South		0	3		1	"Mariana, RoomAttendant"	OR	Stay Over	1.00	22/06/2022 00:00:00	05/07/2022	Complete
3048	Zone 3 South		0	3		2	"Mariana, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
3050	Zone 3 South		1	3			"Mariana, RoomAttendant"	VD	Stay Over	1.00			Complete
3052	Zone 3 South		0	3		2	"Mariana, RoomAttendant"	OR	Stay Over	1.00	24/06/2022 00:00:00	26/06/2022	Complete
3054	Zone 3 South		0	54		2	"Mariana, RoomAttendant"	OR	Check Out	1.00	25/06/2022 00:00:00	26/06/2022	Complete
